category,question,options,correct
القرآن,المقصود بالفتنة في قوله تعالى (والفتنة أشد من القتل),"نقل الكلام والنميمة,الإفساد بين الناس,فتنة النساء,فتن المؤمن عن دينه",فتن المؤمن عن دينه
القرآن,"هل هذه العبارة صحيحة أم خاطئة: لا تلقي بيدك إلى التهلكة وتنفق في سبيل الله وأنت محتاج ""إللي يحتاجه البيت يحرم على الجامع""","صحيحة,خاطئة",خاطئة
القرآن,هل جماع الزوجة أثناء الحج جائز؟,"يجوز,لا يجوز",لا يجوز
القرآن,ما هو خير الزاد؟,"الزوجة الصالحة,المال,التمر والماء (الأسودان),التقوى",التقوى
القرآن,(الحج أشهر معلومات) ما هي الأشهر المعلومات؟ (يمكن الاستعانة بالكتاب),"شعبان، رمضان، شوال,رمضان، شوال، عشر ذي الحجة,شوال، ذو القعدة، وعشر ذي الحجة,عشر ذي الحجة، محرم، رجب","شوال، ذو القعدة، وعشر ذي الحجة"
القرآن,وَمِنَ النَّاسِ مَن يُعْجِبُكَ قَوْلُهُ فِي الْحَيَوةِ الدُّنْيَا وَيُشْهَدُ اللَّهَ عَلَى مَا فِي قَلْبِهِ وَهُوَ الَ الْخِصَامِ استخرج الصفة المذكورة من صفات المنافق في الآية,"إذا خاصم فجر,إذا اؤتمن خان,إذا وعد أوفى",إذا خاصم فجر
القرآن,أَم حَسِبتُم أَن تَدخُلُوا الجَنَّةَ وَلَمّا يَأتِكُم مَثَلُ الَّذينَ خَلَوا مِن قَبلِكُم مَسَّتهُمُ البَأساءُ وَالضَّرّاءُ وَزُلزِلوا حَتّى يَقولَ الرَّسولُ وَالَّذينَ آمَنوا مَعَهُ مَتى نَصرُ اللَّهِ أَلا إِنَّ نَصرَ اللَّهِ قَريبٌ على ما حثت الآية الكريمة؟,"صبر وتحمل البلاء في سبيل الله واحتساب الأجر واليقين بإن وعد الله حق ونصره قريب وإن لم تره عينك؟,لقنوط واليأس لان الآية أشارت أنهم قوم مؤمنين ومعهم رسول ومع ذلك مستهم البأساء والضراء وزلزلوا؟",صبر وتحمل البلاء في سبيل الله واحتساب الأجر واليقين بإن وعد الله حق ونصره قريب وإن لم تره عينك؟
القرآن,كُتِبَ عَلَيكُمُ القِتالُ وَهُوَ كُرهٌ لَكُم وَعَسى أَن تَكرَهوا شَيئًا وَهُوَ خَيرٌ لَكُم وَعَسى أَن تُحِبّوا شَيئًا وَهُوَ شَرٌّ لَكُم وَاللَّهُ يَعلَمُ وَأَنتُم لا تَعلَمونَ ما معنى قوله تعالى كره لكم في الآية؟,"أي أنهم كرهوا أمر الله في ذاته وكرهوا إن يطيعوه فيه,أي شاق عليكم لما فيه من التعب والإرهاق والخوف وتكلفة المؤنة والنفور الطبعي عنه",أي شاق عليكم لما فيه من التعب والإرهاق والخوف وتكلفة المؤنة والنفور الطبعي عنه
القرآن,"هل هذه العبارة صحيحة؟ ﴿كُتِبَ عَلَيكُمُ القِتالُ وَهُوَ كُرهٌ لَكُم وَعَسى أَن تَكرَهوا شَيئًا وَهُوَ خَيرٌ لَكُم وَعَسى أَن تُحِبّوا شَيئًا وَهُوَ شَرٌّ لَكُم وَاللَّهُ يَعلَمُ وَأَنتُم لا تَعلَمونَ﴾ علم الله شديد السعة والعمق والدقة وقدرته مطلقة لا ينازع فيها ولا يعجزه أي أمر لذلك كان يقول الصحابة أن رسول الله صلى الله عليه وسلم كان يعلمهم الإستخارة كما يعلمهم السورة من القرآن ولذلك على المؤمن أن لا يغفل عن الإستخارة في صغير أموره قبل كبيرها لإن فيها الإفتقار وإظهار العبد عجزه إلى ربه وتعظيمه فهو عز وجل العليم القدير (""فإنك تعلم ولا أعلم وتقدر ولا اقدر وأنت علام الغيوب"")","صح,خطأ",صح
القرآن,"وَلا تَنكِحُوا المُشرِكاتِ حَتّى يُؤمِنَّ وَلَأَمَةٌ مُؤمِنَةٌ خَيرٌ مِن مُشرِكَةٍ وَلَو أَعجَبَتكُم وَلا تُنكِحُوا المُشرِكينَ حَتّى يُؤمِنوا وَلَعَبدٌ مُؤمِنٌ خَيرٌ مِن مُشرِكٍ وَلَو أَعجَبَكُم أُولئِكَ يَدعونَ إِلَى النّارِ وَاللَّهُ يَدعو إِلَى الجَنَّةِ وَالمَغفِرَةِ بِإِذنِهِ وَيُبَيِّنُ آياتِهِ لِلنّاسِ لَعَلَّهُم يَتَذَكَّرونَ هل هذه العبارة صحيحة؟: ام فلان ربة المنزل الأمية، الفقيرة، الضعيفة، التي تصلي خمسها، وتطيع زوجها خير من ملئ الأرض من فلانة المشركة ولكنها، جميلة، غنية، قوية، حاصلة على شهادات، تضيف إلى المجتمع وتخدم الإنسانية. وعم فلان العامل، البسيط، الفقير، الأمي، الذي يأكل بالحلال ولا يزيد عن الفرائض، خير من ملئ الأرض من الطبيب فلان المشرك ولكنه محترم، صاحب خلق الحسن، يساعد الناس، ويتبرع بالكثير من ماله، ويخدم الإنسانية","صحيحة,خطأ",صحيحة
