category,question,options,correct
"القرآن","لماذا نادى الله تعالى اليهودَ ناسبًا إياهم إلى أبيهم إسرائيل (يعقوب) عليه السلام؟","لتذكيرهم بتاريخهم القديم فقط, لتهييجهم باسم جدهم ليتبعوا الحق كما كان أبوهم, للتفريق بينهم وبين النصارى في الخطاب, للإشارة إلى أصلهم العرقي فقط","لتهييجهم باسم جدهم ليتبعوا الحق كما كان أبوهم"
"القرآن","كيف يكون القرآن مصدقًا للكتب السابقة؟","لأن القرآن أخبر أن الأنبياء السابقين صادقون وأنزل عليهم الكتب, لأن الأنبياء السابقين أخبروا بمجيء القرآن ومحمد صلى الله عليه وسلم فظهر كما قالوا, لأن القرآن وافق الكتب السابقة في أصول العقيدة كالتوحيد وذكر الدار الآخرة, كل ما سبق صحيح","كل ما سبق صحيح"
"القرآن","صاحب المعصية إذا رأى غيره يفعلها؛ هل يسكت عنه؟","نعم، لأنه لا يحق له النهي عن شيء وهو يفعله, نعم، لأن الأمر بالمعروف يسقط عن مرتكب المعصية, لا، فالأمر بالمعروف واجب عليه حتى لو كان عاصياً, لا، لكن عليه أولاً أن يترك المعصية ثم ينهى غيره عنها","لا، فالأمر بالمعروف واجب عليه حتى لو كان عاصياً"
"القرآن","ما الذي ينبغي على المسلمين أن يفعلوه حالة النصر والفوز والظفر؟","الفخر بالانتصار والإعلان عن قوتهم, الخضوع لله وشكره والاعتراف بفضله, الانشغال بالاحتفال والفرح فقط, الاكتفاء بالدعاء بالنصر مستقبلاً","الخضوع لله وشكره والاعتراف بفضله"
"القرآن","ما الحكمة في أمر الله تعالى لبني إسرائيل بذبح بقرة؟","كانت عقوبة لهم على ذنب ارتكبوه, لاختبار طاعتهم فقط دون حكمة أخرى, لأنهم كانوا يقدسون البقرة ويعبدون العجل، فأراد الله تعالى تهوين ذلك في نفوسهم, لإظهار معجزة إحياء الموتى من خلال البقرة","لأنهم كانوا يقدسون البقرة ويعبدون العجل، فأراد الله تعالى تهوين ذلك في نفوسهم"
"القرآن","لماذا كانت الذلة والمسكنة عقوبة مناسبة لمعاصي بني إسرائيل؟","لأنها العقوبة المناسبة لكل أمة عاصية, لأنها تناسب فقط الأمم الكافرة, لأن معاصيهم كانت تدل على قلة صبرهم واحتقارهم لأوامر الله ونعمه، فعوقبوا من جنس عملهم, لأن هذه العقوبة هي الأشد قسوة من بين العقوبات المختلفة","لأن معاصيهم كانت تدل على قلة صبرهم واحتقارهم لأوامر الله ونعمه، فعوقبوا من جنس عملهم"
"القرآن","انتقال بني إسرائيل من المعاصي الصغيرة إلى الكفر وقتل الأنبياء يفيد:","أن الكفر وقتل الأنبياء من صغائر الذنوب, أن إدمان المعاصي يفضي إلى التغلغل فيها والانتقال من أصغرها إلى أكبرها, أن المعاصي كلها متساوية في العقاب, أن الله تعالى لا يغفر جميع أنواع المعاصي","أن إدمان المعاصي يفضي إلى التغلغل فيها والانتقال من أصغرها إلى أكبرها"
"القرآن","إلى ماذا يشير أخذ ما أنزل الله بقوة في الآية؟","إلى الجد والاجتهاد وعدم التكاسل والتغافل, إلى القوة البدنية والشدة في التعامل مع الآخرين, إلى القوة العسكرية وأخذ الحق بالقوة, إلى قوة الإرادة فقط دون العمل","إلى الجد والاجتهاد وعدم التكاسل والتغافل"
"القرآن","على ماذا يدل قول قوم موسى (الآن جئت بالحق)؟","على أن موسى عليه السلام كان يخفي عنهم الحقيقة في البداية, على جهلهم، لأن موسى جاءهم بالحق من البداية, على أن الحق لم يتضح لهم إلا بعد سلسلة من الأسئلة, على أن موسى عليه السلام أخطأ في الشرح لهم من البداية","على جهلهم، لأن موسى جاءهم بالحق من البداية"
"القرآن","في قوله تعالى: {فَوَيۡلٞ لِّلَّذِينَ يَكۡتُبُونَ ٱلۡكِتَٰبَ بِأَيۡدِيهِمۡ ثُمَّ يَقُولُونَ هَٰذَا مِنۡ عِندِ ٱللَّهِ لِيَشۡتَرُواْ بِهِۦ ثَمَنٗا قَلِيلٗاۖ}، من حرف نص الكتاب أو معناه فهو ظالم من جهتين. ما هما؟","تلبيس الدين على الناس وأخذ أموالهم بالباطل, تعطيل نشر العلم ومنع التعليم, التكبر على الناس والاستهزاء بالعلماء, الكسل في طلب العلم والإهمال في التعلم","تلبيس الدين على الناس وأخذ أموالهم بالباطل"
