category,question,options,correct
القرآن,ماذا اجمع اليهود والنصارى في الاختلاف؟,"كلٌّ يعتقد أن الله لن يدخل غيرهم الجنة,كلٌّ يريد أن تكون الأمة الإسلامية تابعة له,كلٌّ ينكر دين الآخر ويزعم أنه ليس على حق,كلٌّ يتهم الآخر بالضلال رغم تلاوتهم للكتاب","كلٌّ ينكر دين الآخر ويزعم أنه ليس على حق وكلٌّ يتهم الآخر بالضلال رغم تلاوتهم للكتاب"
القرآن,الي اين يجر الهوي صاحبه؟,"يهدي الي الطريق الصحيح,دخول الجنة,يهدي الي التهلكة,ارضاء الناس","يهدي الي التهلكة"
القرآن,ما المقصود بتضييع المسجد؟,"الارشاد الخاطيء لموقع المسجد,جعله مكانًا للاجتماعات العامة فقط,هدم المسجد,منع الذكر والعبادة","هدم المسجد ومنع الذكر والعبادة"
القرآن,هل تضييع المسجد من علامات قيام الساعة؟,"نعم,لا","نعم"
القرآن,متي تكون الاسالة الشرعية محمودة؟,"عندما يكثر منها الشخص دون حاجة,عندما تكون للتعلم و الاستفادة,عندما تكون للتعنت و الاعتراض,عندما تكون في الأمور التافهة فقط","عندما تكون للتعلم و الاستفادة"
القرآن,لماذا امر الله اهل اليهود ان يتمنوا الموت؟,"للهروب من عذاب الله لهم في الدنيا,لأنهم كانوا يطلبون الموت دائمًا,لأن اهل الجنة الاخرة احب لهم من الدنيا,لأن الله يكرههم","لأن اهل الجنة الاخرة احب لهم من الدنيا"
القرآن,سبب كفر اليهود هو,"غباءهم,جهلهم,ذكاءهم,تعندهم","تعندهم"
القرآن,"في قوله تعالى (۞ مَا نَنسَخْ مِنْ ءَايَةٍ أَوْ نُنسِهَا نَأْتِ بِخَيْرٍۢ مِّنْهَآ أَوْ مِثْلِهَآ ۗ أَلَمْ تَعْلَمْ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَىْءٍۢ قَدِيرٌ ١٠٦) ما معنى كلمة نَنسَخْ في الآية؟","كتابة,ازالة,رفع,نقل","رفع"
القرآن,"في قوله تعالى (قُلْ إِن كَانَتْ لَكُمُ ٱلدَّارُ ٱلْـَٔاخِرَةُ عِندَ ٱللَّهِ خَالِصَةًۭ مِّن دُونِ ٱلنَّاسِ فَتَمَنَّوُا۟ ٱلْمَوْتَ إِن كُنتُمْ صَـٰدِقِينَ) ما معنى كلمة خَالِصَةًۭ في الآية؟","مخلصة,خالية,خاصة لا يشارك فيها احد,مملوءة","خاصة لا يشارك فيها احد"
القرآن,"في قوله تعالى (أَفَتُؤْمِنُونَ بِبَعْضِ ٱلْكِتَـٰبِ وَتَكْفُرُونَ بِبَعْضٍۢ) كيف ترد على من يدعي الإيمان وهو لا يعمل بأحكام الإسلام؟","""العمل ليس شرطًا في الإيمان، فالله غفور رحيم"",""من آمن ببعض الكتاب وكفر ببعض فهو منافق، ويستحق الخزي في الدنيا والآخرة"",""الإيمان قول باللسان فقط، ولا حاجة للعمل به"",""الأعمال الصالحة تكمل الإيمان، لكن تركها لا يؤثر عليه""","""من آمن ببعض الكتاب وكفر ببعض فهو منافق، ويستحق الخزي في الدنيا والآخرة"""
